Id,Confirmed,Deaths,Recovered
0,1,1,1
5,1,1,1
10,1,1,1
15,1,1,1
20,1,1,1
25,1,1,1
30,1,1,1
35,1,1,1
40,1,1,1
45,1,1,1
50,1,1,1
55,1,1,1
60,1,1,1
65,1,1,1
70,1,1,1
75,1,1,1
80,1,1,1
85,1,1,1
90,1,1,1
95,1,1,1
100,1,1,1
105,1,1,1
110,1,1,1
115,1,1,1
120,1,1,1
125,1,1,1
130,1,1,1
135,1,1,1
140,1,1,1
145,1,1,1
1,1,0,1
6,1,0,1
11,1,0,1
16,1,0,1
21,1,0,1
26,1,0,1
31,1,0,1
36,1,0,1
41,1,0,1
46,1,0,1
51,1,0,1
56,1,0,1
61,1,0,1
66,1,0,1
71,1,0,1
76,1,0,1
81,1,0,1
86,1,0,1
91,1,0,1
96,1,0,1
101,1,0,1
106,1,0,1
111,1,0,1
116,1,0,1
121,1,0,1
126,1,0,1
131,1,0,1
136,1,0,1
141,1,0,1
146,1,0,1
2,1,1,1
7,1,1,1
12,1,1,1
17,1,1,1
22,1,1,1
27,1,1,1
32,1,1,1
37,1,1,1
42,1,1,1
47,1,1,1
52,1,1,1
57,1,1,1
62,1,1,1
67,1,1,1
72,1,1,1
77,1,1,1
82,1,1,1
87,1,1,1
92,1,1,1
97,1,1,1
102,1,1,1
107,1,1,1
112,1,1,1
117,1,1,1
122,1,1,1
127,1,1,1
132,1,1,1
137,1,1,1
142,1,1,1
147,1,1,1
3,1,1,0
8,1,1,0
13,1,1,0
18,1,1,0
23,1,1,0
28,1,1,0
33,1,1,0
38,1,1,0
43,1,1,0
48,1,1,0
53,1,1,0
58,1,1,0
63,1,1,0
68,1,1,0
73,1,1,0
78,1,1,0
83,1,1,0
88,1,1,0
93,1,1,0
98,1,1,0
103,1,1,0
108,1,1,0
113,1,1,0
118,1,1,0
123,1,1,0
128,1,1,0
133,1,1,0
138,1,1,0
143,1,1,0
148,1,1,0
4,1,1,0
9,1,1,0
14,1,1,0
19,1,1,0
24,1,1,0
29,1,1,0
34,1,1,0
39,1,1,0
44,1,1,0
49,1,1,0
54,1,1,0
59,1,1,0
64,1,1,0
69,1,1,0
74,1,1,0
79,1,1,0
84,1,1,0
89,1,1,0
94,1,1,0
99,1,1,0
104,1,1,0
109,1,1,0
114,1,1,0
119,1,1,0
124,1,1,0
129,1,1,0
134,1,1,0
139,1,1,0
144,1,1,0
149,1,1,0
