"","dem_vote","marital_id","state_id"
"1",0,1,"alabama"
"2",0,0,"alabama"
"3",1,0,"alabama"
"4",0,1,"alabama"
"5",0,1,"alabama"
"6",0,1,"alabama"
"7",1,0,"alabama"
"8",0,1,"alabama"
"9",0,1,"alabama"
"10",0,1,"alabama"
"11",1,1,"alabama"
"12",0,0,"alabama"
"13",1,1,"alabama"
"14",0,1,"alabama"
"15",1,0,"alabama"
"16",0,0,"alabama"
"17",0,1,"alabama"
"18",1,0,"alabama"
"19",0,0,"alabama"
"20",0,1,"alabama"
"21",0,1,"alabama"
"22",0,1,"alabama"
"23",1,1,"alabama"
"24",0,1,"alabama"
"25",0,1,"alabama"
"26",1,1,"alabama"
"27",1,0,"alabama"
"28",1,0,"alabama"
"29",1,0,"alabama"
"30",1,1,"alabama"
"31",1,1,"alabama"
"32",1,0,"alabama"
"33",0,0,"alabama"
"34",0,1,"alabama"
"35",1,1,"alabama"
"36",0,0,"alabama"
"37",0,1,"alabama"
"38",1,0,"alabama"
"39",1,1,"alabama"
"40",1,1,"alabama"
"41",1,0,"alabama"
"42",0,1,"alabama"
"43",1,1,"alabama"
"44",1,1,"alabama"
"45",0,0,"alabama"
"46",0,1,"alabama"
"47",1,0,"alabama"
"48",0,0,"alabama"
"49",0,1,"alabama"
"50",0,1,"alabama"
"51",1,0,"alabama"
"52",0,1,"alabama"
"53",0,0,"alabama"
"54",0,1,"alabama"
"55",1,1,"alabama"
"56",0,1,"alabama"
"57",0,0,"alabama"
"58",0,1,"alabama"
"59",0,0,"alabama"
"60",0,1,"alabama"
"61",1,1,"alabama"
"62",1,1,"alabama"
"63",0,0,"alabama"
"64",0,1,"alabama"
"65",1,1,"alabama"
"66",0,1,"alabama"
"67",0,1,"alabama"
"68",0,1,"alabama"
"69",0,1,"alabama"
"70",0,1,"alabama"
"71",0,0,"alabama"
"72",1,0,"alabama"
"73",0,0,"alabama"
"74",0,1,"alabama"
"75",0,0,"alabama"
"76",0,0,"alabama"
"77",0,1,"alabama"
"78",0,1,"alabama"
"79",0,0,"alabama"
"80",0,1,"alabama"
"81",1,0,"alabama"
"82",1,0,"alabama"
"83",0,1,"alabama"
"84",0,0,"alabama"
"85",0,1,"alabama"
"86",0,1,"alabama"
"87",1,1,"alabama"
"88",0,1,"alabama"
"89",0,1,"alabama"
"90",1,0,"alabama"
"91",1,1,"alabama"
"92",1,1,"alabama"
"93",1,0,"alabama"
"94",1,0,"alabama"
"95",1,0,"alabama"
"96",0,0,"alabama"
"97",0,1,"alabama"
"98",0,1,"alabama"
"99",0,1,"alabama"
"100",1,0,"alabama"
"101",1,0,"alabama"
"102",0,0,"alabama"
"103",1,1,"alabama"
"104",0,1,"alabama"
"105",0,1,"alabama"
"106",0,1,"alabama"
"107",0,1,"alabama"
"108",1,0,"alabama"
"109",1,1,"alabama"
"110",0,0,"alabama"
"111",0,0,"alabama"
"112",0,1,"alabama"
"113",1,0,"alabama"
"114",0,1,"alabama"
"115",0,1,"alabama"
"116",0,1,"alabama"
"117",0,1,"alabama"
"118",0,0,"alabama"
"119",1,1,"alabama"
"120",0,1,"alabama"
"121",0,0,"alabama"
"122",0,1,"alabama"
"123",0,0,"alabama"
"124",0,0,"alabama"
"125",0,0,"alabama"
"126",1,0,"alabama"
"127",0,0,"alabama"
"128",0,1,"alabama"
"129",1,0,"alabama"
"130",0,1,"alabama"
"131",0,1,"alabama"
"132",1,1,"alabama"
"133",0,1,"alabama"
"134",0,0,"alabama"
"135",0,1,"alabama"
"136",0,0,"alabama"
"137",0,1,"alabama"
"138",1,0,"alabama"
"139",0,1,"alabama"
"140",0,1,"alabama"
"141",1,1,"alabama"
"142",1,0,"alabama"
"143",1,1,"alabama"
"144",0,1,"alabama"
"145",0,1,"alabama"
"146",1,1,"alabama"
"147",0,1,"alabama"
"148",0,1,"alabama"
"149",1,0,"alabama"
"150",1,0,"alabama"
"151",0,1,"alabama"
"152",1,1,"alabama"
"153",0,1,"alabama"
"154",0,1,"alabama"
"155",0,0,"alabama"
"156",1,0,"alabama"
"157",0,0,"alabama"
"158",0,1,"alabama"
"159",1,0,"alabama"
"160",0,1,"alabama"
"161",1,0,"alabama"
"162",0,1,"alabama"
"163",0,1,"alabama"
"164",0,1,"alabama"
"165",0,1,"alabama"
"166",0,1,"alabama"
"167",1,0,"alabama"
"168",0,1,"alabama"
"169",0,1,"alabama"
"170",0,1,"alabama"
"171",0,1,"alabama"
"172",0,0,"alabama"
"173",1,0,"alabama"
"174",0,1,"alabama"
"175",0,0,"alabama"
"176",0,1,"alabama"
"177",1,1,"alabama"
"178",0,1,"alabama"
"179",0,1,"alabama"
"180",1,1,"alabama"
"181",0,0,"alabama"
"182",1,1,"alabama"
"183",0,1,"alabama"
